ts,bid.curr.mth,target.7sec,baseline,R01_bid.curr.mth,R01_target.7sec
2016-05-01 11:29,84400,84800,83700,700,1100
2016-05-01 11:29,84400,84900,83700,700,1200
2016-05-01 11:29,84400,84900,83700,700,1200
2016-05-01 11:29,84500,85000,83700,800,1300
2016-06-01 11:29,83500,83600,83500,0,100
2016-06-01 11:29,83500,83600,83500,0,100
2016-06-01 11:29,83500,83700,83500,0,200
2016-06-01 11:29,83500,83700,83500,0,200
2016-06-01 11:29,83500,83700,83500,0,200
2016-06-01 11:29,83500,83700,83500,0,200
2016-06-01 11:29,83600,83700,83500,100,200
2016-06-01 11:29,83600,83700,83500,100,200
2016-06-01 11:29,83600,83700,83500,100,200
2016-06-01 11:29,83700,83700,83500,200,200
2016-06-01 11:29,83700,83700,83500,200,200
2016-06-01 11:29,83700,83700,83500,200,200
2016-06-01 11:29,83700,83700,83500,200,200
2016-06-01 11:29,83700,83700,83500,200,200
2016-06-01 11:29,83700,83800,83500,200,300
2016-06-01 11:29,83700,83800,83500,200,300
2016-06-01 11:29,83700,83800,83500,200,300
2016-06-01 11:29,83700,83800,83500,200,300
2016-06-01 11:29,83700,83800,83500,200,300
2016-06-01 11:29,83700,83800,83500,200,300
2016-06-01 11:29,83700,83800,83500,200,300
2016-06-01 11:29,83800,83800,83500,300,300
2016-06-01 11:29,83800,83800,83500,300,300
2016-06-01 11:29,83800,83800,83500,300,300
2016-06-01 11:29,83800,83800,83500,300,300
2016-06-01 11:29,83800,83800,83500,300,300
2016-06-01 11:29,83800,83800,83500,300,300
2016-06-01 11:29,83800,83900,83500,300,400
2016-06-01 11:29,83800,83900,83500,300,400
2016-06-01 11:29,83800,84000,83500,300,500
2016-06-01 11:29,83800,84000,83500,300,500
2016-06-01 11:29,83800,84000,83500,300,500
2016-06-01 11:29,83800,84000,83500,300,500
2016-06-01 11:29,83800,84000,83500,300,500
2016-06-01 11:29,83900,84000,83500,400,500
2016-06-01 11:29,83900,84000,83500,400,500
2016-06-01 11:29,84000,84100,83500,500,600
2016-06-01 11:29,84000,84100,83500,500,600
2016-06-01 11:29,84000,84100,83500,500,600
2016-06-01 11:29,84000,84100,83500,500,600
2016-06-01 11:29,84000,84100,83500,500,600
2016-06-01 11:29,84000,84100,83500,500,600
2016-06-01 11:29,84000,84100,83500,500,600
2016-06-01 11:29,84100,84100,83500,600,600
2016-06-01 11:29,84100,84100,83500,600,600
2016-06-01 11:29,84100,84100,83500,600,600
2016-06-01 11:29,84100,84200,83500,600,700
2016-06-01 11:29,84100,84200,83500,600,700
2016-06-01 11:29,84100,84200,83500,600,700
2016-06-01 11:29,84100,84300,83500,600,800
2016-06-01 11:29,84100,84300,83500,600,800
2016-06-01 11:29,84100,84300,83500,600,800
2016-06-01 11:29,84100,84300,83500,600,800
2016-06-01 11:29,84200,84400,83500,700,900
2016-07-01 11:29,85400,85400,85400,0,0
2016-07-01 11:29,85400,85400,85400,0,0
2016-07-01 11:29,85400,85500,85400,0,100
2016-07-01 11:29,85400,85500,85400,0,100
2016-07-01 11:29,85400,85600,85400,0,200
2016-07-01 11:29,85400,85700,85400,0,300
2016-07-01 11:29,85400,85700,85400,0,300
2016-07-01 11:29,85400,85700,85400,0,300
2016-07-01 11:29,85400,85700,85400,0,300
2016-07-01 11:29,85500,85700,85400,100,300
2016-07-01 11:29,85500,85700,85400,100,300
2016-07-01 11:29,85600,85700,85400,200,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85700,85400,300,300
