ts,R01_bid.curr.mth,R01_target.7sec
2016-04-01 11:29:00,84300,84500
2016-04-01 11:29:00,84300,84600
2016-04-01 11:29:00,84400,84600
2016-04-01 11:29:00,84400,84700
2016-04-01 11:29:00,84400,84800
2016-04-01 11:29:00,84500,84800
2016-04-01 11:29:00,84500,84900
2016-04-01 11:29:00,84500,85000
2016-04-01 11:29:00,84600,85100
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83700
2016-05-01 11:29:00,83700,83800
2016-05-01 11:29:00,83700,83800
2016-05-01 11:29:00,83700,83800
2016-05-01 11:29:00,83700,83800
2016-05-01 11:29:00,83700,83800
2016-05-01 11:29:00,83700,83900
2016-05-01 11:29:00,83700,83900
2016-05-01 11:29:00,83800,83900
2016-05-01 11:29:00,83800,84000
2016-05-01 11:29:00,83800,84000
2016-05-01 11:29:00,83800,84000
2016-05-01 11:29:00,83800,84000
2016-05-01 11:29:00,83900,84000
2016-05-01 11:29:00,83900,84000
2016-05-01 11:29:00,83900,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84000
2016-05-01 11:29:00,84000,84100
2016-05-01 11:29:00,84000,84100
2016-05-01 11:29:00,84000,84200
2016-05-01 11:29:00,84000,84300
2016-05-01 11:29:00,84000,84300
2016-05-01 11:29:00,84000,84300
2016-05-01 11:29:00,84000,84400
2016-05-01 11:29:00,84100,84400
2016-05-01 11:29:00,84100,84400
2016-05-01 11:29:00,84200,84500
